Field,Area(ha),Slope(%),Climate,Soil,Year,Treatment,Till,SpringPFert,STP5,STP0-15cm,Crop,SWE,SnowmeltRunoff,Runoff/snow,SnowmeltSediment(mg/L),SnowmeltSedimentkg,SnowmeltDRPmg,SnowmeltDRPkg,SnowmeltTDPmg,SnowmeltTDPkg,SnowmeltTPmg,SnowmeltTPkg,SnowmeltTDPTP,Rainfall,RainfallRunoff,Runoff/Rain,RainfallSediment(mg/L),RainfallSedimentkg,RainfallDRPmg,RainfallDRPkg,RainfallTDPmg,RainfallTDPkg,RainfallTPmg,RainfallTPkg,RainfallTDPTP,AnnualPrecipitation(mm),AnnualRunoff,Runoff/Precipitation,AnnualSediment(mg/L),AnnualSedimentkg,AnnualDRP(mg/L),AnnualDRP(kg/ha),AnnualTDPmg,AnnualTDP(kg/ha),AnnualTPmg,AnnualTPkg,AnnualDissolvedPTP,Snow/Precipitation(%),Rain/Precipitation(%),SnowmeltRunoffAnnualRunoff,RainRunoffAnnualRunoff,SnowmeltSediment/AnnualSediment(%),RainfallSediment/AnnualSediment(%),SnowmeltDRP/AnnualDRP(%),RainDRP/AnnualDRP(%),SnowmeltTDP/AnnualTDP(%),RainTDP/AnnualTDP(%),SnowmeltTPAnnualTP,RainTPAnnualTP
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1995,"Wheat-GreenManure R., Conven. Till",yes,0,na,14.17,wheat,16.86,2.1,0.12,30.29,0.63,0.18,0,na,na,na,na,na,419.7,11.66,0.03,23688.93,2762.13,0.05,0.01,na,na,na,na,na,436.56,13.76,0.03,20085.53,2762.76,0.07,0.01,na,na,na,na,na,3.86,96.14,15.23,84.77,0.02,99.98,40.24,59.76,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1996,"Wheat-GreenManure R., Conven. Till",yes,0,na,10.32,green manure,38.22,74.64,1.95,741.85,553.75,0.05,0.03,na,na,na,na,na,318.6,0,0,0,0,0,0,na,na,na,na,na,356.82,74.64,0.21,741.85,553.75,0.05,0.03,na,na,na,na,na,10.71,89.29,100,0,100,0,100,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1997,"Wheat-GreenManure R., Conven. Till",yes,0,na,12.76,wheat,37.52,na,na,na,101.13,na,na,na,na,na,na,na,284.4,na,na,na,na,na,na,na,na,na,na,na,321.92,na,na,na,101.13,na,na,na,na,na,na,na,11.66,88.34,na,na,100,na,na,na,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1998,"Wheat-GreenManure R., Conven. Till",yes,0,na,11.36,green manure,18.6,0,0,0,0,0,0,na,na,na,na,na,287.9,0,0,0,0,0,0,na,na,na,na,na,306.5,0,0,0,0,0,0,na,na,na,na,na,6.07,93.93,0,0,0,0,0,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1999,"Wheat-GreenManure R., Conven. Till",yes,0,na,7.07,wheat,21.2,27.56,1.3,84.02,23.16,0.42,0.12,na,na,na,na,na,267.8,0,0,0,0,0,0,na,na,na,na,na,289,27.56,0.1,84.02,23.16,0.42,0.12,na,na,na,na,na,7.33,92.67,100,0,100,0,100,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2000,"Wheat-GreenManure R., Conven. Till",yes,0,na,11.75,green manure,52,0,0,0,0,0,0,na,na,na,na,na,338.6,0,0,0,0,0,0,na,na,na,na,na,390.6,0,0,0,0,0,0,na,na,na,na,na,13.31,86.69,0,0,0,0,0,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2001,"Wheat-GreenManure R., Conven. Till",yes,0,na,9.25,wheat,2.13,0.1,0.05,7.41,0.01,1.38,0,na,na,na,na,na,138.9,0,0,0,0,0,0,na,na,na,na,na,141.03,0.1,0,7.41,0.01,1.38,0,na,na,na,na,na,1.51,98.49,100,0,100,0,100,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2002,"Wheat-GreenManure R., Conven. Till",yes,0,na,5.16,green manure,18.57,2.99,0.16,12.68,0.38,0.27,0.01,na,na,na,na,na,389.6,0.48,0,9.5,0.05,Misisng value,na,na,na,na,na,na,408.17,3.47,0.01,12.24,0.42,0.23,0.01,na,na,na,na,na,4.55,95.45,86.21,13.79,89.3,10.7,100,na,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2003,"Wheat-GreenManure R., Conven. Till",yes,0,na,5.75,wheat,12.6,21.18,1.68,92.83,19.66,na,na,na,na,na,na,na,210.5,0,0,0,0,0,0,na,na,na,na,na,223.1,21.18,0.09,92.83,19.66,0,0,na,na,na,na,na,5.65,94.35,100,0,100,0,na,na,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2004,"Wheat-GreenManure R., Conven. Till",yes,0,na,5.86,green manure,84.76,3.15,0.04,46.25,1.46,0.2,0.01,na,na,na,na,na,321.1,0,0,0,0,0,0,na,na,na,na,na,405.86,3.15,0.01,46.25,1.46,0.2,0.01,na,na,na,na,na,20.88,79.12,100,0,100,0,100,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2005,"Wheat-GreenManure R., Conven. Till",yes,0,na,9.44,wheat,15.23,0,0,0,0,0,0,na,na,na,na,na,277,0,0,0,0,0,0,na,na,na,na,na,292.23,0,0,0,0,0,0,na,na,na,na,na,5.21,94.79,0,0,0,0,0,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2006,"Wheat-GreenManure R., Conven. Till",yes,0,na,5.99,green manure,16.09,8.93,0.56,26.78,2.39,0.36,0.03,na,na,na,na,na,280.2,0,0,0,0,0,0,na,na,na,na,na,296.29,8.93,0.03,26.78,2.39,0.36,0.03,na,na,na,na,na,5.43,94.57,100,0,100,0,100,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2007,"Wheat-GreenManure R., Conven. Till",yes,0,na,7.34,wheat,5.54,3.66,0.66,47.02,1.72,0.28,0.01,na,na,na,na,na,187.7,0,0,0,0,0,0,na,na,na,na,na,193.24,3.66,0.02,47.02,1.72,0.28,0.01,na,na,na,na,na,2.87,97.13,100,0,100,0,100,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2008,"Wheat-GreenManure R., Conven. Till",yes,0,na,6.32,green manure,24.32,0,0,0,0,0,0,na,na,na,na,na,369.5,0.17,0,180.23,0.31,0.33,0,na,na,na,na,na,393.82,0.17,0,180.23,0.31,0.33,0,na,na,na,na,na,6.18,93.82,0,100,0,100,0,100,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2009,"Wheat-GreenManure R., Conven. Till",yes,0,na,5.09,wheat,3.59,0,0,0,0,0,0,na,na,na,na,na,211.3,0,0,0,0,0,0,na,na,na,na,na,214.89,0,0,0,0,0,0,na,na,na,na,na,1.67,98.33,0,0,0,0,0,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2010,"Wheat-GreenManure R., Conven. Till",yes,0,na,7.53,green manure,49.24,0.01,0,41.48,0,0.23,0,na,na,na,na,na,532.4,1.42,0,568.1,8.06,0.14,0,na,na,na,na,na,581.64,1.42,0,566.1,8.06,0.14,0,na,na,na,na,na,8.47,91.53,0.38,99.62,0.03,99.97,0.61,99.39,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2011,"Wheat-GreenManure R., Conven. Till",yes,0,na,4.56,wheat,56.94,52.13,0.92,72.32,37.69,0.33,0.17,na,na,na,na,na,354.4,0,0,0,0,0,0,na,na,na,na,na,411.34,52.13,0.13,72.32,37.69,0.33,0.17,na,na,na,na,na,13.84,86.16,100,0,100,0,100,0,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1995,"Wheat-Fallow R., No Till",no,4.5,na,12.09,wheat,20.64,8.89,0.43,39.55,3.52,0.26,0.02,na,na,na,na,na,419.7,2.96,0.01,11326.54,335.49,0.31,0.01,na,na,na,na,na,440.34,11.85,0.03,2860.59,339.01,0.27,0.03,na,na,na,na,na,4.69,95.31,75.01,24.99,1.04,98.96,72.11,27.89,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1996,"Wheat-Fallow R., No Till",no,4.5,na,10.9,fallow,34.67,66.06,1.91,334.53,220.99,0.06,0.04,na,na,na,na,na,318.6,0.09,0,0,0,na,na,na,na,na,na,na,353.27,66.15,0.19,334.06,220.99,0.06,0.04,na,na,na,na,na,9.81,90.19,99.86,0.14,100,0,100,na,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1997,"Wheat-Fallow R., No Till",no,4.5,na,15.39,wheat,79.14,na,na,na,23.88,na,na,na,na,na,na,na,284.4,na,na,na,na,na,na,na,na,na,na,na,363.54,na,na,na,23.88,na,na,na,na,na,na,na,21.77,78.23,na,na,100,na,na,na,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1998,"Wheat-Fallow R., No Till",no,4.5,na,11.72,fallow,16.47,3.13,0.19,656.7,20.55,0.2,0.01,na,na,na,na,na,287.9,0,0,0,0,0,0,na,na,na,na,na,304.37,3.13,0.01,656.7,20.55,0.2,0.01,na,na,na,na,na,5.41,94.59,100,0,100,0,100,0,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1999,"Wheat-Fallow R., No Till",no,4.5,na,9.93,wheat,72.11,77.36,1.07,na,na,0.15,0.12,na,na,na,na,na,267.8,0,0,0,0,0,0,na,na,na,na,na,339.91,77.36,0.23,na,na,0.15,0.12,na,na,na,na,na,21.21,78.79,100,0,na,na,100,0,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2000,"Wheat-Fallow R., No Till",no,4.5,na,15.14,fallow,62.45,0.73,0.01,31.84,0.23,0.55,0,na,na,na,na,na,338.6,0,0,0,0,0,0,na,na,na,na,na,401.05,0.73,0,31.84,0.23,0.55,0,na,na,na,na,na,15.57,84.43,100,0,100,0,100,0,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2001,"Wheat-Fallow R., No Till",no,4.5,na,12.41,wheat,57.94,36.77,0.63,94.14,34.61,0.2,0.07,na,na,na,na,na,138.9,0,0,0,0,0,0,na,na,na,na,na,196.84,36.77,0.19,94.14,34.61,0.2,0.07,na,na,na,na,na,29.43,70.57,100,0,100,0,100,0,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2002,"Wheat-Fallow R., No Till",no,4.5,na,10.43,fallow,30.89,7.62,0.25,473.03,36.04,0.27,0.02,na,na,na,na,na,389.6,4.62,0.01,11.73,0.54,na,na,na,na,na,na,na,420.49,12.24,0.03,298.81,36.59,0.17,0.02,na,na,na,na,na,7.35,92.65,62.23,37.77,98.52,1.48,100,Misisng value,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2003,"Wheat-Pulse R., No Till",no,9,na,9.67,wheat,63.93,28.83,0.45,289.64,83.51,na,na,na,na,na,na,na,210.5,0,0,0,0,0,0,na,na,na,na,na,274.43,28.83,0.11,289.64,83.51,0,0,na,na,na,na,na,23.3,76.7,100,0,100,0,na,na,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2004,"Wheat-Pulse R., No Till",no,9,na,13.71,lentil,92.62,26.28,0.28,14.24,3.74,0.04,0.01,na,na,na,na,na,321.1,0.01,0,177.55,0.01,1.68,0,na,na,na,na,na,413.72,26.28,0.06,14.27,3.75,0.04,0.01,na,na,na,na,na,22.39,77.61,99.98,0.02,99.76,0.24,99.09,0.91,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2005,"Wheat-Pulse R., No Till",no,9,na,12.65,wheat,16.33,10.35,0.63,4.98,0.52,0.09,0.01,na,na,na,na,na,277,0,0,0,0,0,0,na,na,na,na,na,293.33,10.35,0.04,4.98,0.52,0.09,0.01,na,na,na,na,na,5.57,94.43,100,0,100,0,100,0,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2006,"Wheat-Pulse R., No Till",no,9,na,14.25,pea,16.19,27.03,1.67,24.91,6.73,0.3,0.08,na,na,na,na,na,280.2,0,0,0,0,0,0,na,na,na,na,na,296.39,27.03,0.09,24.91,6.73,0.3,0.08,na,na,na,na,na,5.46,94.54,100,0,100,0,100,0,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2007,"Wheat-Pulse R., No Till",no,9,na,16.36,wheat,26.29,27.04,1.03,116.12,31.4,0.11,0.03,na,na,na,na,na,187.7,0,0,0,0,0,0,na,na,na,na,na,213.99,27.04,0.13,116.12,31.4,0.11,0.03,na,na,na,na,na,12.29,87.71,100,0,100,0,100,0,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2008,"Wheat-Pulse R., No Till",no,9,na,14.16,lentil,38.13,4.88,0.13,44.34,2.16,0.21,0.01,na,na,na,na,na,369.5,0,0,0,0,0,0,na,na,na,na,na,407.63,4.88,0.01,44.34,2.16,0.21,0.01,na,na,na,na,na,9.35,90.65,100,0,100,0,100,0,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2009,"Wheat-Pulse R., No Till",no,9,na,13.42,wheat,11.44,8.45,0.74,61.45,5.19,0.19,0.02,na,na,na,na,na,211.3,0,0,0,0,0,0,na,na,na,na,na,222.74,8.45,0.04,61.45,5.19,0.19,0.02,na,na,na,na,na,5.14,94.86,100,0,100,0,100,0,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2010,"Wheat-Pulse R., No Till",no,9,na,13.29,pea,46.66,6.97,0.15,17.97,1.25,0.35,0.02,na,na,na,na,na,532.4,3.01,0.01,2597.42,78.24,0.07,0,na,na,na,na,na,579.06,9.98,0.02,796.13,79.49,0.27,0.03,na,na,na,na,na,8.06,91.94,69.83,30.17,1.58,98.42,92.13,7.87,na,na,na,na
SK1-SC-F2,4.7,1.7,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2011,"Wheat-Pulse R., No Till",no,9,na,23,wheat,99.59,41.81,0.42,11.56,4.83,0.13,0.05,na,na,na,na,na,354.4,0,0,0,0,0,0,na,na,na,na,na,453.99,41.81,0.09,11.56,4.83,0.13,0.05,na,na,na,na,na,21.94,78.06,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1995,"Wheat-Fallow R., Conven. Till",yes,4.5,na,17.54,wheat,18.08,1.03,0.06,18.01,0.18,0.13,0,na,na,na,na,na,419.7,10.13,0.02,17869.98,1810.23,0.16,0.02,na,na,na,na,na,437.78,11.16,0.03,16226.71,1810.41,0.15,0.02,na,na,na,na,na,4.13,95.87,9.2,90.8,0.01,99.99,7.72,92.28,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1996,"Wheat-Fallow R., Conven. Till",yes,4.5,na,15.39,fallow,28.71,59.6,2.08,250.04,149.03,0.03,0.02,na,na,na,na,na,318.6,0,0,0,0,0,0,na,na,na,na,na,347.31,59.6,0.17,250.04,149.03,0.03,0.02,na,na,na,na,na,8.27,91.73,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1997,"Wheat-Fallow R., Conven. Till",yes,4.5,na,17.54,wheat,31.04,41.67,1.34,367.63,153.18,0.13,0.05,na,na,na,na,na,284.4,0,0,0,0,0,0,na,na,na,na,na,315.44,41.67,0.13,367.63,153.18,0.13,0.05,na,na,na,na,na,9.84,90.16,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1998,"Wheat-Fallow R., Conven. Till",yes,4.5,na,11.58,fallow,19.44,5.67,0.29,318.47,18.06,0.08,0,na,na,na,na,na,287.9,0,0,0,0,0,0,na,na,na,na,na,307.34,5.67,0.02,318.47,18.06,0.08,0,na,na,na,na,na,6.33,93.67,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1999,"Wheat-Fallow R., Conven. Till",yes,4.5,na,13.72,wheat,21.58,23.71,1.1,600.78,142.45,0.35,0.08,na,na,na,na,na,267.8,0,0,0,0,0,0,na,na,na,na,na,289.38,23.71,0.08,600.78,142.45,0.35,0.08,na,na,na,na,na,7.46,92.54,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2000,"Wheat-Fallow R., Conven. Till",yes,4.5,na,19.36,fallow,56.27,0.39,0.01,131.63,0.52,0.61,0,na,na,na,na,na,338.6,0,0,0,0,0,0,na,na,na,na,na,394.87,0.39,0,131.63,0.52,0.61,0,na,na,na,na,na,14.25,85.75,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2001,"Wheat-Fallow R., Conven. Till",yes,4.5,na,14.95,wheat,1.74,1.72,0.99,17.55,0.3,0.46,0.01,na,na,na,na,na,138.9,0,0,0,0,0,0,na,na,na,na,na,140.64,1.72,0.01,17.55,0.3,0.46,0.01,na,na,na,na,na,1.24,98.76,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2002,"Wheat-Fallow R., Conven. Till",yes,4.5,na,9.7,fallow,29.68,1.49,0.05,67.48,1.01,0.19,0,na,na,na,na,na,389.6,2.83,0.01,147.78,4.18,na,na,na,na,na,na,na,419.28,4.32,0.01,120.05,5.18,0.06,0,na,na,na,na,na,7.08,92.92,34.53,65.47,19.41,80.59,100,Misisng value,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2003,"Wheat-Fallow R., Conven. Till",yes,4.5,na,12.54,wheat,13.07,6.27,0.48,149.33,9.36,na,na,na,na,na,na,na,210.5,0,0,0,0,0,0,na,na,na,na,na,223.57,6.27,0.03,149.33,9.36,0,0,na,na,na,na,na,5.84,94.16,100,0,100,0,na,na,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2004,"Wheat-Fallow R., Conven. Till",yes,4.5,na,12.75,fallow,71.35,15.97,0.22,10.08,1.61,0.03,0,na,na,na,na,na,321.1,0,0,0,0,0,0,na,na,na,na,na,392.45,15.97,0.04,10.08,1.61,0.03,0,na,na,na,na,na,18.18,81.82,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2005,"Wheat-Fallow R., Conven. Till",yes,4.5,na,5.84,wheat,16.05,0.11,0.01,6.42,0.01,0.48,0,na,na,na,na,na,277,0,0,0,0,0,0,na,na,na,na,na,293.05,0.11,0,6.42,0.01,0.48,0,na,na,na,na,na,5.48,94.52,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2006,"Wheat-Fallow R., Conven. Till",yes,4.5,na,19.17,fallow,15.03,35.65,2.37,76.7,27.34,0.2,0.07,na,na,na,na,na,280.2,0,0,0,0,0,0,na,na,na,na,na,295.23,35.65,0.12,76.7,27.34,0.2,0.07,na,na,na,na,na,5.09,94.91,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2007,"Wheat-Fallow R., Conven. Till",yes,4.5,na,19.75,wheat,14.56,4.07,0.28,154.78,6.3,0.28,0.01,na,na,na,na,na,187.7,0,0,0,0,0,0,na,na,na,na,na,202.26,4.07,0.02,154.78,6.3,0.28,0.01,na,na,na,na,na,7.2,92.8,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2008,"Wheat-Fallow R., Conven. Till",yes,4.5,na,11.25,fallow,40.21,2.17,0.05,16.92,0.37,0.18,0,na,na,na,na,na,369.5,0,0,0,0,0,0,na,na,na,na,na,409.71,2.17,0.01,16.92,0.37,0.18,0,na,na,na,na,na,9.81,90.19,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2009,"Wheat-Fallow R., Conven. Till",yes,4.5,na,12.35,wheat,4.14,0,0,0,0,0,0,na,na,na,na,na,211.3,0,0,0,0,0,0,na,na,na,na,na,215.44,0,0,0,0,0,0,na,na,na,na,na,1.92,98.08,0,0,0,0,no,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2010,"Wheat-Fallow R., Conven. Till",yes,4.5,na,12.64,fallow,74.43,10.82,0.15,46.27,5.01,0.32,0.03,na,na,na,na,na,532.4,0,0,0,0,0,0,na,na,na,na,na,606.83,10.82,0.02,46.27,5.01,0.32,0.03,na,na,na,na,na,12.27,87.73,100,0,100,0,100,0,na,na,na,na
SK1-SC-F3,4.9,1.4,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2011,"Wheat-Fallow R., Conven. Till",yes,4.5,na,22.48,wheat,104.94,46.39,0.44,859.35,398.62,0.22,0.1,na,na,na,na,na,354.4,0,0,0,0,0,0,na,na,na,na,na,459.34,46.39,0.1,859.35,398.62,0.22,0.1,na,na,na,na,na,22.85,77.15,100,0,100,0,100,0,na,na,na,na
MB1-KEN-F1,4.2,0.769230769,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2016,Org3,na,0,na,16,wheat,37.77,0.13,0,na,na,na,na,0.55,0,0.64,0,85.63,455,0,0,0,0,0,0,0,0,0,0,0,492.77,0.13,0,2.56,0,na,na,0.55,0,0.64,0,85.63,7.66,92.34,100,0,na,0,na,na,100,0,100,0
MB1-KEN-F1,4.2,0.769230769,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2017,Org3,na,0,18.4,15,rye green manure,84.55,35.47,0.42,11.04,3.91,na,na,0.25,0.09,0.35,0.12,72.83,208,0,0,0,0,0,0,0,0,0,0,0,292.55,35.47,0.12,11.04,3.91,na,na,0.25,0.09,0.35,0.12,72.83,28.9,71.1,100,0,100,0,na,na,100,0,100,0
MB1-KEN-F2,1.5,1.0625,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2014,Org4,na,0,na,2.39,oats,61.8,56.61,0.92,11.07,6.27,na,na,0.19,0.11,0.23,0.13,84.13,477,4.19,0.01,86.86,3.64,na,na,0,0,0.07,0,0,538.8,60.79,0.11,16.29,9.91,na,na,0.18,0.11,0.22,0.13,84.52,11.47,88.53,93.11,6.89,63.29,36.71,na,na,97.3,0,97.75,2.25
MB1-KEN-F2,1.5,1.0625,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2015,Org4,na,0,na,5.59,oat/pea intercrop,38,2,0.05,10.85,0.22,na,na,0.11,0,0.16,0,72.02,329,0,0,0,0,na,na,0,0,0,0,0,367,2,0.01,10.85,0.22,na,na,0.11,0,0.16,0,72.02,10.36,89.64,100,0,100,0,na,na,100,0,100,0
MB1-KEN-F2,1.5,1.0625,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2016,Org4,na,0,8.72,4.93,wheat,38.21,0.62,0.02,3.04,0.02,na,na,0.12,0,0.15,0,81.94,455,0,0,0,0,na,na,0,0,0,0,0,493.21,0.62,0,3.04,0.02,na,na,0.12,0,0.15,0,81.94,7.75,92.25,100,0,100,0,na,na,100,0,100,0
MB1-KEN-F2,1.5,1.0625,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2017,Org4,na,0,6.15,3.87,oat/pea silage,81.01,93.16,1.15,6.19,5.77,na,na,0.09,0.08,0.13,0.12,70.74,208,0,0,0,0,na,na,0,0,0,0,0,289.01,93.16,0.32,6.19,5.77,na,na,0.09,0.08,0.13,0.12,70.74,28.03,71.97,100,0,100,0,na,na,100,0,100,0
